Student_id,First_name,Last_name,E-mail,Gender,Age,Department,Attendance(%),Midterm_score,Final_score,Assignment_avg,Quizzes_avg,Participation_score,Project_score,Total_score,Grade,Study_hours_per_week
41,Pooja,Patel,pooja41@gmail.com,Female,24,Business,58.44,60.62,74.88,62.9,52.83,67.16,74.95,65.56,C,25.9
42,Vishal,Parekh,vishal42@gmail.com,Male,23,Mathematics,84.37,41.95,79.53,93.01,94.01,54.63,76.11,73.21,B,26.9
43,Rahul,Shah,rahul43@gmail.com,Male,24,Mathematics,87.87,86.79,82.65,66.98,48.8,31.03,68.24,64.08,C,18.2
44,Rohit,Joshi,rohit44@gmail.com,Male,21,Mathematics,89.23,64.31,55.16,56.9,56.01,43.35,59.46,55.87,D,10.7
45,Rahul,Mehta,rahul45@gmail.com,Male,18,Business,71.67,95.22,98.09,78.82,40.68,80.01,81.77,79.1,B,27.2
46,Sneha,Patel,sneha46@gmail.com,Female,23,Engineering,87.63,80.59,39.18,94.99,46.68,21.98,32.56,52.66,D,12.6
47,Amit,Patel,amit47@gmail.com,Female,25,CS,91.03,93.65,36.62,71.73,52.42,24.99,69.42,58.14,D,27.7
48,Rahul,Mehta,rahul48@gmail.com,Female,21,Engineering,66.6,65.22,79.02,92.79,59.6,81.86,41.3,69.97,C,17.5
49,Priya,Parekh,priya49@gmail.com,Male,19,Mathematics,57.66,45.24,39.49,85.33,55.11,84.82,32.63,57.1,D,7.6
50,Sneha,Mehta,sneha50@gmail.com,Male,22,Business,73.9,41,74.05,48.5,74.08,59.13,86.91,63.94,C,6.9
51,Amit,Mehta,amit51@gmail.com,Female,22,Mathematics,53.11,68.7,98.84,47.33,94.51,48.69,38.48,66.09,C,21.7
52,Neha,Joshi,neha52@gmail.com,Female,18,Mathematics,61.36,95.4,96.88,82.95,86.34,71.9,82.41,85.98,A,13
53,Pooja,Joshi,pooja53@gmail.com,Female,20,Engineering,79.07,46.15,88.48,68.23,81.61,47.34,65.12,66.16,C,20.9
54,Priya,Modi,priya54@gmail.com,Male,24,Mathematics,93.75,51.49,74.3,91.4,56.29,43.26,77.74,65.75,C,27
55,Neha,Mehta,neha55@gmail.com,Female,21,Mathematics,55.37,91.13,68.43,91.34,86.44,63.23,82.58,80.53,B,7.6
56,Neha,Modi,neha56@gmail.com,Male,18,Engineering,64.97,90.38,72.63,67.43,57.8,67.71,35.49,65.24,C,23.7
57,Neha,Trivedi,neha57@gmail.com,Male,23,CS,86.01,98.84,57.02,43.15,81.84,49.6,50.61,63.51,C,10.6
58,Neha,Joshi,neha58@gmail.com,Female,18,Business,84.31,35.11,47.31,58.24,53.69,88.26,58.93,56.92,D,8.9
59,Priya,Shah,priya59@gmail.com,Male,19,Business,87.93,90.08,49.17,62.29,55.41,94.89,61.23,68.84,C,8.3
60,Rahul,Shah,rahul60@gmail.com,Male,23,Engineering,82.45,78.29,69.43,75.04,69.88,38.59,39.75,61.83,C,14.9
61,Pooja,Patel,pooja61@gmail.com,Male,19,CS,58.77,84.25,69.88,49.32,76.31,61.28,91.46,72.08,B,17.3
62,Neha,Shah,neha62@gmail.com,Male,18,Business,64.13,72.66,53.69,50.4,67.47,64.7,66.15,62.51,C,17.6
63,Neha,Desai,neha63@gmail.com,Male,25,Business,90.76,38.83,70.95,50.14,75.86,27.13,53.79,52.78,D,19.4
64,Rohit,Patel,rohit64@gmail.com,Female,19,Mathematics,95.86,96.66,47.99,56.98,70.14,22.4,78.2,62.06,C,17.1
65,Rahul,Patel,rahul65@gmail.com,Female,22,Engineering,60.32,94.96,52.89,77.3,50.5,29.92,71.02,62.76,C,26.5
66,Sneha,Trivedi,sneha66@gmail.com,Female,25,Business,64.2,70.12,32.83,89.65,54.5,34.79,78.59,60.08,C,13.8
67,Amit,Parekh,amit67@gmail.com,Male,18,CS,78.88,51.77,77.2,68.34,70.16,56.06,94.88,69.73,C,10.3
68,Anjali,Parekh,anjali68@gmail.com,Male,24,Business,57.72,84.23,86.88,87.12,81.54,75.97,51.49,77.87,B,23.1
69,Vishal,Joshi,vishal69@gmail.com,Male,22,Engineering,56.93,77.86,49.6,69.8,48.07,91.24,30,61.09,C,19.6
70,Vishal,Joshi,vishal70@gmail.com,Female,25,Business,77.83,43.8,96.35,59.95,66.46,78.32,69.57,69.07,C,6.3
71,Rohit,Desai,rohit71@gmail.com,Male,21,Business,67.95,65.39,33.65,74.18,90.33,96.17,42.76,67.08,C,25.5
72,Amit,Modi,amit72@gmail.com,Female,22,Business,60.43,86.96,94.43,53.44,45.72,58.6,75.5,69.11,C,20.4
73,Vishal,Patel,vishal73@gmail.com,Male,24,Mathematics,66.97,84.15,71.88,95.13,60.15,84.13,77.38,78.8,B,6.7
74,Pooja,Mehta,pooja74@gmail.com,Male,22,CS,87.96,33.22,38.39,80.21,79.57,46.98,58.95,56.22,D,13.6
75,Sneha,Trivedi,sneha75@gmail.com,Male,24,CS,98.7,68.73,82.25,69.7,82.3,32.44,40.26,62.61,C,20.3
76,Sneha,Patel,sneha76@gmail.com,Male,19,Mathematics,63.38,68.29,90.74,68.08,53.59,45.63,34.6,60.16,C,12.8
77,Priya,Joshi,priya77@gmail.com,Male,21,Mathematics,78.28,69.43,36.24,40.98,84.36,39.5,39.01,51.59,D,28.4
78,Karan,Trivedi,karan78@gmail.com,Male,21,Mathematics,72.17,30.54,91.73,96.96,69.64,69.03,62.24,70.02,B,20.7
79,Priya,Shah,priya79@gmail.com,Male,18,Business,52.39,30.16,74.89,98.3,78.54,22.65,63.05,61.26,C,9.6
80,Neha,Parekh,neha80@gmail.com,Female,25,Engineering,79.79,54.19,38.7,72.81,98.56,63.85,97.92,71.01,B,8.1
81,Pooja,Modi,pooja81@gmail.com,Female,24,Engineering,76.67,88.45,83.54,60.37,73.57,24.39,48.16,63.08,C,16.6
82,Neha,Patel,neha82@gmail.com,Female,20,Engineering,51.93,77.4,82.68,49.91,51.15,41.01,58.71,60.14,C,23.1
83,Pooja,Trivedi,pooja83@gmail.com,Male,23,CS,63.65,74.68,47.48,75.03,66.55,25.85,36.31,54.32,D,20.2
84,Rahul,Modi,rahul84@gmail.com,Male,18,Engineering,82.37,79.63,74.82,51.81,98.65,30.72,95.53,71.86,B,7.9
85,Rohit,Trivedi,rohit85@gmail.com,Female,23,Business,96.53,85.8,65.7,94.88,90.86,45.43,43.85,71.09,B,19.4
86,Anjali,Patel,anjali86@gmail.com,Male,20,Engineering,56.94,76.09,51.06,55.79,55.47,88.52,93.69,70.1,B,24
87,Karan,Desai,karan87@gmail.com,Male,24,CS,71.36,44.85,98.11,43.77,48.1,42.01,74.27,58.52,D,12.7
88,Pooja,Desai,pooja88@gmail.com,Male,19,Business,87.28,44.73,37.85,40.5,40.68,23.58,59.26,41.1,E,29.1
89,Pooja,Mehta,pooja89@gmail.com,Male,18,Business,59.89,98.31,61.27,51.93,68.23,61.24,51.64,65.44,C,27.2
90,Anjali,Patel,anjali90@gmail.com,Male,23,Mathematics,98.49,44.5,91.5,43.61,83.03,81.15,73.92,69.62,C,25.9
91,Amit,Mehta,amit91@gmail.com,Male,18,Mathematics,76.57,73.99,62.3,69.12,95.4,67.37,84.42,75.43,B,19.9
92,Karan,Desai,karan92@gmail.com,Male,18,Engineering,90.54,96.78,54.78,75.26,80.61,66.99,87.99,77.07,B,24.3
93,Karan,Patel,karan93@gmail.com,Male,24,Mathematics,69.1,56.55,92.94,95.07,97.07,41.25,35.98,69.81,C,28.2
94,Neha,Shah,neha94@gmail.com,Female,19,CS,70.13,47.56,59.09,56.39,49.38,83.45,73.61,61.58,C,16.5
95,Neha,Parekh,neha95@gmail.com,Male,25,Mathematics,67.07,38.31,93.34,40.37,40.94,20.75,91.39,54.18,D,10.6
96,Neha,Desai,neha96@gmail.com,Male,25,Mathematics,88.81,98.65,67.22,83.07,67.6,56.77,56.89,71.7,B,23.1
97,Rahul,Modi,rahul97@gmail.com,Male,21,Mathematics,92.31,69.77,65.59,63.47,98.72,69.89,80.52,74.66,B,24.1
98,Neha,Mehta,neha98@gmail.com,Male,21,Business,97.64,39.49,31.76,58.78,50.11,38.05,67.3,47.58,E,17.6
99,Priya,Joshi,priya99@gmail.com,Male,20,Business,96.64,55.13,79.05,72.85,87.29,86.03,93.98,79.06,B,13.9
100,Priya,Modi,priya100@gmail.com,Female,19,Mathematics,96.11,53.62,68.97,66.13,86.69,22.62,50.33,58.06,D,8.5
101,Pooja,Shah,pooja101@gmail.com,Male,21,Business,93.72,86.69,95.89,42.96,58.99,92.04,99.2,79.3,B,21.1
102,Anjali,Trivedi,anjali102@gmail.com,Female,22,Mathematics,98.08,31.93,60.84,66.08,73.98,97.84,56.24,64.49,C,15.2
103,Neha,Mehta,neha103@gmail.com,Male,19,Engineering,52.1,63.53,43.26,62.76,93.28,39.04,96.63,66.42,C,9.9
104,Priya,Mehta,priya104@gmail.com,Male,24,Business,66.71,50.77,83.98,93.35,63.14,68.55,85.99,74.3,B,20.4
105,Karan,Mehta,karan105@gmail.com,Female,23,Engineering,50.88,89.62,40.1,46.91,70.22,89.13,36.71,62.12,C,25.3
106,Priya,Joshi,priya106@gmail.com,Female,20,Mathematics,64.39,86.25,64.13,95.15,79.61,64.67,40.47,71.71,B,18.8
107,Rohit,Desai,rohit107@gmail.com,Male,19,Business,83.91,38.93,81.58,83.52,68.43,32.22,90.29,65.83,C,22.9
108,Anjali,Trivedi,anjali108@gmail.com,Female,21,CS,72.13,94.15,75.48,64.87,44.09,56.14,45.2,63.32,C,6
109,Amit,Mehta,amit109@gmail.com,Male,22,Business,63.07,36.51,37.19,80.14,99.7,96.56,57.6,67.95,C,12
110,Priya,Modi,priya110@gmail.com,Male,18,Mathematics,77.25,99.98,63.87,74.88,69.4,29.98,34.73,62.14,C,29.9
111,Anjali,Patel,anjali111@gmail.com,Female,23,Engineering,78.39,40.39,37.01,89.62,43.77,92.31,78.01,63.52,C,21.8
112,Amit,Joshi,amit112@gmail.com,Male,24,Mathematics,80.24,74.48,89.6,40.4,82.27,34.01,58.49,63.21,C,11.5
113,Priya,Modi,priya113@gmail.com,Male,24,CS,63.49,72.7,68.15,49.29,42.09,49.88,48.4,55.09,D,12.3
114,Neha,Mehta,neha114@gmail.com,Male,24,CS,87.43,32.08,42.98,90.16,43.41,23.98,50.72,47.22,E,28.1
115,Rahul,Joshi,rahul115@gmail.com,Male,20,Engineering,80.98,70.2,34.92,46.58,84.27,88.8,81.32,67.68,C,18
116,Priya,Shah,priya116@gmail.com,Female,22,Mathematics,77.06,30.63,42.19,88.89,60.81,53.94,42.74,53.2,D,6.7
117,Anjali,Mehta,anjali117@gmail.com,Male,19,CS,52.61,64.23,34.21,79.03,91.69,72.96,97.46,73.26,B,17.4
118,Sneha,Parekh,sneha118@gmail.com,Male,22,CS,87.29,71.09,50.79,82.88,73.48,41.76,60.39,63.4,C,10.7
119,Rohit,Trivedi,rohit119@gmail.com,Male,24,Mathematics,84.51,89.36,58.23,74.38,74.03,89.39,51.09,72.75,B,12.8
120,Pooja,Modi,pooja120@gmail.com,Male,22,CS,81.28,72.87,53.82,60.81,61.4,77.35,82.02,68.05,C,10.1
121,Rahul,Patel,rahul121@gmail.com,Male,22,CS,53.43,92.42,97.85,91.03,40.48,32.78,58.67,68.87,C,20.7
122,Neha,Mehta,neha122@gmail.com,Male,21,CS,76.77,80.16,71.52,97.43,74.36,77.23,45.1,74.3,B,24.7
123,Karan,Trivedi,karan123@gmail.com,Female,20,Engineering,69.49,46.4,89.5,78.17,47.47,72,89.06,70.43,B,15.6
124,Karan,Mehta,karan124@gmail.com,Male,24,CS,51.05,62.13,49.55,47.85,60.57,38.81,36.41,49.22,E,14.2
125,Rohit,Joshi,rohit125@gmail.com,Female,20,Business,60.67,99,70.96,43.74,62.78,38.96,98.47,68.98,C,12.9
126,Karan,Mehta,karan126@gmail.com,Male,21,Business,50.83,30.99,42.89,89.92,93.99,53.13,30.02,56.82,D,23.7
127,Karan,Desai,karan127@gmail.com,Female,24,Business,74.83,93.89,98.47,61.39,75.61,27.47,70.92,71.29,B,25.7
128,Karan,Mehta,karan128@gmail.com,Male,24,Business,94.75,57.65,33.65,53.09,45.92,37.96,76.75,50.84,D,11.4
129,Rohit,Trivedi,rohit129@gmail.com,Female,21,Engineering,58.98,99.65,87.37,72.72,77.79,34.22,97.19,78.16,B,14.2
130,Amit,Joshi,amit130@gmail.com,Female,20,Engineering,67.97,62.02,44.35,94.64,89.31,42.31,98.6,71.87,B,28.2
131,Amit,Shah,amit131@gmail.com,Female,18,CS,62.59,99.97,60.14,40.67,42.08,76.32,57.74,62.82,C,11.8
132,Sneha,Patel,sneha132@gmail.com,Female,20,Engineering,98.05,30.46,73.68,45.55,51.5,73,92.36,61.09,C,22.1
133,Rahul,Desai,rahul133@gmail.com,Female,25,Engineering,98.19,47.55,41.75,62.25,46.57,61.74,52.8,52.11,D,8.5
134,Rahul,Joshi,rahul134@gmail.com,Female,25,Mathematics,76.98,88.36,81.3,60.78,72.91,91.96,54.8,75.02,B,18.5
135,Neha,Mehta,neha135@gmail.com,Male,24,Business,94.11,60.01,41.19,98.68,60.59,67.68,37.44,60.93,C,16.2
136,Karan,Trivedi,karan136@gmail.com,Male,22,CS,85.85,85.69,98.73,88.27,60.31,91.91,37.07,77,B,15.7
137,Neha,Mehta,neha137@gmail.com,Female,20,CS,51.89,54.64,90.38,85.81,84.37,94.45,64.53,79.03,B,24.1
138,Pooja,Parekh,pooja138@gmail.com,Female,23,Mathematics,71.11,99.77,94.5,83.15,87.54,76.34,94.26,89.26,A,22.3
139,Neha,Modi,neha139@gmail.com,Female,23,CS,62.01,35.04,37.42,94.38,92.87,39.84,61.71,60.21,C,13.6
140,Rahul,Desai,rahul140@gmail.com,Male,19,CS,74.15,41.78,88.05,59.18,81.71,36.28,30.74,56.29,D,13.3
141,Neha,Desai,neha141@gmail.com,Male,19,Business,88.33,52.5,31.99,89.14,67.43,59.84,56.47,59.56,D,26.6
142,Rohit,Modi,rohit142@gmail.com,Female,20,Business,80.71,38.14,70.64,90.08,47.63,38.92,97.06,63.75,C,26
143,Priya,Modi,priya143@gmail.com,Female,18,Engineering,66.82,50.76,46.56,65.4,99.27,32.54,56.88,58.57,D,7.6
144,Priya,Trivedi,priya144@gmail.com,Female,18,Mathematics,55.52,79.48,54.38,45.5,78.93,95.37,49.15,67.14,C,14.7
145,Vishal,Mehta,vishal145@gmail.com,Female,21,Engineering,52.59,39.67,98.12,87.4,89.47,49.24,86.2,75.02,B,23.4
146,Neha,Shah,neha146@gmail.com,Female,21,CS,72.41,31.63,95.69,89.28,52.05,72.46,77.81,69.82,C,12.4
147,Anjali,Patel,anjali147@gmail.com,Male,18,Mathematics,79.22,35,64.16,43.95,91.3,30.11,65.29,54.97,D,28.9
148,Neha,Modi,neha148@gmail.com,Male,25,CS,93.73,75.34,61.9,99.26,50.18,90.99,97.93,79.27,B,11.3
149,Karan,Modi,karan149@gmail.com,Male,20,Business,90.53,47.14,78.97,75.63,77.03,74.75,63.47,69.5,C,6.7
150,Karan,Modi,karan150@gmail.com,Male,18,CS,79.76,59.02,71.56,82.98,50.59,95.05,71.6,71.8,B,11.9
151,Vishal,Modi,vishal151@gmail.com,Male,23,CS,63.66,97.53,62.72,53.93,69.9,80.88,70.16,72.52,B,26.2
152,Vishal,Shah,vishal152@gmail.com,Male,24,CS,77.44,95.3,57.15,65.41,98.32,62.72,54.77,72.28,B,24.9
153,Sneha,Joshi,sneha153@gmail.com,Male,25,Business,66.33,57.64,78.75,67.74,84.12,24.08,97.88,68.37,C,20.3
154,Priya,Trivedi,priya154@gmail.com,Male,21,Engineering,60.97,30.88,80.95,47.46,45.12,38.82,41.12,47.39,E,20.2
155,Anjali,Desai,anjali155@gmail.com,Male,19,Mathematics,60.87,70.73,44.49,87.76,44.18,76.74,97.52,70.24,B,8.6
156,Pooja,Modi,pooja156@gmail.com,Male,19,Mathematics,63.33,63.49,85.44,51.83,94.12,84.5,78.52,76.32,B,7.8
157,Priya,Mehta,priya157@gmail.com,Female,25,Mathematics,92.79,94.37,82.26,49.26,83.34,82.9,58.6,75.12,B,19.2
158,Rohit,Patel,rohit158@gmail.com,Female,21,Mathematics,86.75,40.42,49.5,48.68,91.99,40.05,66.59,56.21,D,28.7
159,Sneha,Parekh,sneha159@gmail.com,Male,24,CS,81.93,71.11,81.9,80.69,67.29,74.32,57.56,72.14,B,8.3
160,Pooja,Shah,pooja160@gmail.com,Female,21,Mathematics,97.18,33.26,68.18,55.8,60.08,84.23,61.37,60.49,C,16.1
161,Sneha,Mehta,sneha161@gmail.com,Male,23,Business,61.4,96.23,48.63,52.2,91.29,93.09,70.35,75.3,B,28.3
162,Pooja,Parekh,pooja162@gmail.com,Male,19,Mathematics,81.45,42.19,55.15,79.84,79.35,78.48,99.56,72.43,B,28
163,Pooja,Trivedi,pooja163@gmail.com,Female,22,Business,67.18,66.77,97.03,67.72,46.6,48.76,44.22,61.85,C,13.4
164,Neha,Patel,neha164@gmail.com,Male,21,CS,73.79,31.85,78.07,44.54,61,84.11,31.58,55.19,D,15.6
165,Pooja,Parekh,pooja165@gmail.com,Female,24,Business,53.39,89.38,51.23,63.41,40.77,55.23,72.98,62.17,C,6.4
166,Karan,Trivedi,karan166@gmail.com,Male,24,CS,90.57,92.64,68.59,90.57,91.48,62.45,31.56,72.88,B,15.7
167,Priya,Parekh,priya167@gmail.com,Female,18,Engineering,62.01,56.15,82.45,54.56,52.27,27.93,61.68,55.84,D,9.3
168,Vishal,Patel,vishal168@gmail.com,Male,19,CS,93.36,91.97,38.81,50.12,58.72,45.44,31.22,52.71,D,21.7
169,Vishal,Desai,vishal169@gmail.com,Female,25,Engineering,98.22,58.17,67,48.49,47.3,99.74,73.97,65.78,C,24.1
170,Priya,Mehta,priya170@gmail.com,Female,19,Engineering,89.82,66.11,33.8,73.38,66.29,80.4,57.3,62.88,C,18.9
171,Vishal,Desai,vishal171@gmail.com,Female,18,Mathematics,66.86,81.78,98.72,78.61,62.82,36.15,69.74,71.3,B,20.2
172,Pooja,Mehta,pooja172@gmail.com,Female,20,Mathematics,51.04,69.87,64.75,71.81,89.22,53.34,91.3,73.38,B,21.1
173,Rahul,Patel,rahul173@gmail.com,Male,25,Business,63.36,52.71,48.45,87.88,67.2,57.19,79.74,65.53,C,17.7
174,Priya,Joshi,priya174@gmail.com,Male,25,Engineering,74.81,48.58,41.38,91.33,54.47,80.21,38.47,59.07,D,28.8
175,Karan,Joshi,karan175@gmail.com,Male,23,Business,82.37,39.67,91.12,89.41,63.12,53.61,90.93,71.31,B,23
176,Priya,Shah,priya176@gmail.com,Male,23,Mathematics,77.28,45.74,42.76,77.29,40.89,63.77,99.91,61.73,C,21.5
177,Amit,Modi,amit177@gmail.com,Female,21,CS,51.63,63.9,90.58,64.66,63.17,95.98,47.78,71.01,B,9.7
178,Neha,Mehta,neha178@gmail.com,Male,23,Engineering,91.79,92.73,30.61,50.7,76.75,82.91,95.68,71.56,B,19.9
179,Priya,Parekh,priya179@gmail.com,Female,21,Engineering,83.4,43.56,70.9,44.96,85.56,98.13,43.64,64.46,C,17.3
180,Priya,Desai,priya180@gmail.com,Male,18,Mathematics,52.68,56.72,66.16,78.5,71.7,84.25,53.88,68.53,C,10.5
181,Amit,Joshi,amit181@gmail.com,Female,23,Mathematics,60.52,48.06,45.22,41.3,91.33,34.49,67.55,54.66,D,14.5
182,Rahul,Mehta,rahul182@gmail.com,Male,22,Engineering,89.57,80.07,63.62,98.95,85.63,78.95,46.5,75.62,B,5.2
183,Karan,Modi,karan183@gmail.com,Female,24,Engineering,66.99,74.27,99.07,88.16,62.39,61.04,77.29,77.04,B,27.2
184,Karan,Mehta,karan184@gmail.com,Female,18,Engineering,70.15,42.62,74.04,67.54,56.51,69.16,93.95,67.3,C,17.7
185,Anjali,Joshi,anjali185@gmail.com,Female,18,Business,96.64,59.12,59.44,53.12,43.3,64.52,88.91,61.4,C,7.3
186,Vishal,Mehta,vishal186@gmail.com,Male,20,CS,65.94,40.53,51.91,49.41,87.16,29.52,62.23,53.46,D,16
187,Anjali,Joshi,anjali187@gmail.com,Female,22,Business,77.06,59.53,62.77,40.65,87.64,57.37,30.2,56.36,D,19.1
188,Priya,Desai,priya188@gmail.com,Male,21,CS,97.48,54.06,48.32,93.66,68.11,58.54,89.29,68.66,C,17.7
189,Rahul,Mehta,rahul189@gmail.com,Female,20,CS,78.17,36.6,98.06,98.87,45.03,27.59,45,58.52,D,10.3
190,Vishal,Trivedi,vishal190@gmail.com,Female,25,Engineering,66.78,90.05,45.28,57.22,81.28,36.17,77.46,64.58,C,21.6
191,Sneha,Patel,sneha191@gmail.com,Female,21,Business,79.7,36.26,67.59,68.77,69,53.8,59.03,59.08,D,24.7
192,Sneha,Shah,sneha192@gmail.com,Female,19,Engineering,98.26,62.32,37.41,81.29,93.2,92.44,65.55,72.03,B,15.8
193,Amit,Modi,amit193@gmail.com,Male,20,Mathematics,99.71,96.89,33.05,72.62,94.45,78.69,93.8,78.25,B,16.1
194,Vishal,Desai,vishal194@gmail.com,Male,18,Mathematics,54.74,45.34,61.48,53.12,40.98,58.13,50.41,51.58,D,15
195,Amit,Modi,amit195@gmail.com,Female,22,Engineering,89.39,76.17,54.1,97.78,82.31,88.08,45.59,74,B,21.3
196,Priya,Modi,priya196@gmail.com,Female,19,Mathematics,66.4,79.9,91.37,74.18,62.75,45.51,80.12,72.31,B,18.5
197,Sneha,Patel,sneha197@gmail.com,Female,25,Mathematics,72.76,87.03,48.81,71.18,71.82,87.51,86.94,75.55,B,16.8
198,Sneha,Desai,sneha198@gmail.com,Female,23,CS,60,35.23,71.29,54.57,85.9,89.1,97.55,72.27,B,12.4
199,Sneha,Modi,sneha199@gmail.com,Female,23,CS,82.29,87.3,72.28,40.73,85.42,43.11,72.5,66.89,C,14.4
200,Vishal,Trivedi,vishal200@gmail.com,Male,22,Mathematics,96.61,91.59,63.4,86.97,91.74,34.59,45.58,68.98,C,11.5
201,Vishal,Trivedi,vishal201@gmail.com,Female,18,CS,69.47,98.83,35.32,77.11,79.31,28.28,53.51,62.06,C,25.7
